15
 1.0000004     0.0044762
 0.9927997     0.0097135
 0.9798861     0.0189257
 0.9635119     0.0302726
 0.9445370     0.0429566
 0.9234863     0.0564462
 0.9007323     0.0703418
 0.8765621     0.0843239
 0.8512082     0.0981374
 0.8248663     0.1115424
 0.7977047     0.1244671
 0.7698717     0.1366056
 0.7414998     0.1479037
 0.7127087     0.1582629
 0.6836077     0.1676063
 0.6542977     0.1758764
 0.6248724     0.1830336
 0.5954190     0.1890540
 0.5660198     0.1939286
 0.5367520     0.1976611
 0.5076890     0.2002671
 0.4789005     0.2017724
 0.4504528     0.2022105
 0.4224096     0.2016207
 0.3948317     0.2000468
 0.3677777     0.1975383
 0.3413038     0.1941469
 0.3154645     0.1899267
 0.2903124     0.1849359
 0.2658981     0.1792327
 0.2422711     0.1728780
 0.2194792     0.1659325
 0.1975690     0.1584584
 0.1765856     0.1505065
 0.1565731     0.1420980
 0.1375746     0.1332392
 0.1196321     0.1239335
 0.1027864     0.1141977
 0.0870776     0.1040715
 0.0725451     0.0936340
 0.0592271     0.0829948
 0.0471613     0.0723097
 0.0363845     0.0616935
 0.0269330     0.0513974
 0.0188422     0.0412787
 0.0121471     0.0321270
 0.0068819     0.0227010
 0.0030802     0.0147526
 0.0007755     0.0070966
 0.0000004    -0.0005446
 0.0007755    -0.0067634
 0.0030802    -0.0105778
 0.0068819    -0.0151270
 0.0121471    -0.0178654
 0.0188422    -0.0197745
 0.0269330    -0.0207092
 0.0363845    -0.0207118
 0.0471613    -0.0197484
 0.0592271    -0.0178268
 0.0725451    -0.0149349
 0.0870777    -0.0110851
 0.1027864    -0.0063178
 0.1196321    -0.0007170
 0.1375747     0.0055936
 0.1565732     0.0124645
 0.1765856     0.0197325
 0.1975690     0.0272364
 0.2194793     0.0348306
 0.2422711     0.0424015
 0.2658981     0.0498490
 0.2903124     0.0570759
 0.3154646     0.0639870
 0.3413038     0.0704943
 0.3677777     0.0765108
 0.3948317     0.0819584
 0.4224096     0.0867600
 0.4504528     0.0908445
 0.4789005     0.0941479
 0.5076890     0.0966119
 0.5367520     0.0981855
 0.5660198     0.0988265
 0.5954190     0.0985037
 0.6248724     0.0971982
 0.6542977     0.0949043
 0.6836077     0.0916307
 0.7127087     0.0874013
 0.7414998     0.0822566
 0.7698717     0.0762544
 0.7977047     0.0694713
 0.8248663     0.0619755
 0.8512082     0.0539471
 0.8765621     0.0454844
 0.9007323     0.0367630
 0.9234863     0.0279767
 0.9445370     0.0193597
 0.9635119     0.0111974
 0.9798861     0.0038584
 0.9927997    -0.0021191
 1.0000004    -0.0055238
