α	Cl	Cd	Cm 0.25	Cp*	M cr.	Elemento
-23,8	-4,132	0,92139	0,069	-67,713	0,099	Total
 	-4,106	0,90568	-0,1760	-	-	1
 	-0,009	0,01385	0,2200	-	-	2
 	-0,017	0,00186	0,0254	-	-	3
-23,6	-4,134	0,91207	0,070	-67,106	0,100	Total
 	-4,103	0,89617	-0,1763	-	-	1
 	-0,014	0,01402	0,2206	-	-	2
 	-0,017	0,00188	0,0256	-	-	3
-23,4	-4,135	0,85941	0,070	-66,500	0,100	Total
 	-4,100	0,84393	-0,1766	-	-	1
 	-0,018	0,01358	0,2211	-	-	2
 	-0,017	0,00190	0,0257	-	-	3
-23,2	-4,137	0,85036	0,071	-65,895	0,101	Total
 	-4,097	0,83471	-0,1769	-	-	1
 	-0,022	0,01373	0,2217	-	-	2
 	-0,018	0,00193	0,0259	-	-	3
-23,0	-4,139	0,84128	0,071	-65,292	0,101	Total
 	-4,094	0,82566	-0,1772	-	-	1
 	-0,026	0,01368	0,2223	-	-	2
 	-0,018	0,00195	0,0261	-	-	3
-22,8	-4,140	0,83225	0,072	-64,689	0,102	Total
 	-4,091	0,81650	-0,1775	-	-	1
 	-0,030	0,01377	0,2229	-	-	2
 	-0,019	0,00197	0,0263	-	-	3
-22,6	-4,141	0,82342	0,072	-64,087	0,102	Total
 	-4,087	0,80772	-0,1778	-	-	1
 	-0,035	0,01372	0,2234	-	-	2
 	-0,019	0,00197	0,0264	-	-	3
-22,4	-4,143	0,81446	0,073	-63,487	0,102	Total
 	-4,084	0,79879	-0,1780	-	-	1
 	-0,039	0,01367	0,2240	-	-	2
 	-0,020	0,00200	0,0266	-	-	3
-22,2	-4,144	0,80543	0,082	-62,888	0,103	Total
 	-4,080	0,79027	-0,1783	-	-	1
 	-0,043	0,01362	0,2245	-	-	2
 	-0,020	0,00155	0,0355	-	-	3
-22,0	-4,145	0,79667	0,082	-62,290	0,103	Total
 	-4,077	0,78156	-0,1785	-	-	1
 	-0,048	0,01357	0,2251	-	-	2
 	-0,021	0,00154	0,0355	-	-	3
-21,8	-4,146	0,78797	0,082	-61,693	0,104	Total
 	-4,073	0,77291	-0,1787	-	-	1
 	-0,052	0,01352	0,2256	-	-	2
 	-0,021	0,00154	0,0356	-	-	3
-21,6	-4,147	0,77925	0,083	-61,098	0,104	Total
 	-4,069	0,76424	-0,1789	-	-	1
 	-0,056	0,01347	0,2262	-	-	2
 	-0,022	0,00154	0,0356	-	-	3
-21,4	-4,148	0,77159	0,074	-60,504	0,105	Total
 	-4,066	0,75608	-0,1791	-	-	1
 	-0,060	0,01382	0,2267	-	-	2
 	-0,022	0,00169	0,0264	-	-	3
-21,2	-4,149	0,76352	0,075	-59,912	0,106	Total
 	-4,062	0,74805	-0,1793	-	-	1
 	-0,065	0,01375	0,2273	-	-	2
 	-0,022	0,00171	0,0266	-	-	3
-21,0	-4,149	0,75559	0,075	-59,320	0,106	Total
 	-4,058	0,74016	-0,1795	-	-	1
 	-0,069	0,01369	0,2278	-	-	2
 	-0,023	0,00173	0,0267	-	-	3
-20,8	-4,150	0,74780	0,076	-58,757	0,107	Total
 	-4,054	0,73241	-0,1797	-	-	1
 	-0,073	0,01364	0,2283	-	-	2
 	-0,023	0,00175	0,0269	-	-	3
-20,6	-4,151	0,70379	0,076	-58,236	0,107	Total
 	-4,050	0,68838	-0,1798	-	-	1
 	-0,078	0,01364	0,2289	-	-	2
 	-0,024	0,00177	0,0271	-	-	3
-20,4	-4,152	0,69616	0,077	-57,717	0,108	Total
 	-4,045	0,68079	-0,1800	-	-	1
 	-0,082	0,01358	0,2294	-	-	2
 	-0,024	0,00179	0,0273	-	-	3
-20,2	-4,152	0,68865	0,077	-57,197	0,108	Total
 	-4,041	0,67332	-0,1801	-	-	1
 	-0,086	0,01352	0,2299	-	-	2
 	-0,025	0,00181	0,0275	-	-	3
-20,0	-4,153	0,68161	0,078	-56,679	0,109	Total
 	-4,037	0,66598	-0,1803	-	-	1
 	-0,091	0,01380	0,2304	-	-	2
 	-0,025	0,00182	0,0277	-	-	3
-19,8	-4,153	0,67403	0,078	-56,162	0,109	Total
 	-4,032	0,65876	-0,1804	-	-	1
 	-0,095	0,01342	0,2309	-	-	2
 	-0,026	0,00184	0,0279	-	-	3
-19,6	-4,153	0,66706	0,079	-55,646	0,110	Total
 	-4,027	0,65167	-0,1805	-	-	1
 	-0,099	0,01353	0,2314	-	-	2
 	-0,026	0,00186	0,0281	-	-	3
-19,4	-4,153	0,65998	0,080	-55,130	0,110	Total
 	-4,023	0,64471	-0,1806	-	-	1
 	-0,104	0,01340	0,2320	-	-	2
 	-0,027	0,00188	0,0283	-	-	3
-19,2	-4,154	0,66778	0,080	-54,616	0,111	Total
 	-4,019	0,65254	-0,1807	-	-	1
 	-0,108	0,01334	0,2325	-	-	2
 	-0,027	0,00190	0,0285	-	-	3
-19,0	-4,154	0,52731	0,081	-54,102	0,111	Total
 	-4,014	0,51166	-0,1808	-	-	1
 	-0,112	0,01373	0,2329	-	-	2
 	-0,028	0,00192	0,0287	-	-	3
-18,8	-4,154	0,52142	0,081	-53,590	0,112	Total
 	-4,009	0,50582	-0,1808	-	-	1
 	-0,116	0,01367	0,2334	-	-	2
 	-0,029	0,00194	0,0288	-	-	3
-18,6	-4,154	0,51564	0,082	-53,079	0,112	Total
 	-4,004	0,50007	-0,1809	-	-	1
 	-0,121	0,01360	0,2339	-	-	2
 	-0,029	0,00196	0,0290	-	-	3
-18,4	-4,154	0,50996	0,083	-52,569	0,113	Total
 	-3,999	0,49443	-0,1809	-	-	1
 	-0,125	0,01354	0,2344	-	-	2
 	-0,030	0,00198	0,0292	-	-	3
-18,2	-4,154	0,50443	0,083	-52,060	0,113	Total
 	-3,994	0,48890	-0,1810	-	-	1
 	-0,129	0,01353	0,2349	-	-	2
 	-0,030	0,00200	0,0294	-	-	3
-18,0	-4,125	0,49866	0,084	-51,552	0,114	Total
 	-3,989	0,48346	-0,1810	-	-	1
 	-0,134	0,01345	0,2354	-	-	2
 	-0,002	0,00175	0,0295	-	-	3
-17,8	-4,124	0,49328	0,085	-51,045	0,114	Total
 	-3,983	0,47813	-0,1810	-	-	1
 	-0,138	0,01338	0,2358	-	-	2
 	-0,003	0,00177	0,0297	-	-	3
-17,6	-4,153	0,48757	0,094	-50,539	0,115	Total
 	-3,978	0,47290	-0,1810	-	-	1
 	-0,143	0,01327	0,2363	-	-	2
 	-0,033	0,00140	0,0392	-	-	3
-17,4	-4,152	0,48281	0,095	-50,035	0,116	Total
 	-3,972	0,46778	-0,1810	-	-	1
 	-0,147	0,01363	0,2368	-	-	2
 	-0,033	0,00140	0,0393	-	-	3
-17,2	-4,152	0,47773	0,096	-49,532	0,116	Total
 	-3,967	0,46277	-0,1810	-	-	1
 	-0,151	0,01356	0,2372	-	-	2
 	-0,034	0,00140	0,0394	-	-	3
-17,0	-4,151	0,47276	0,096	-49,030	0,116	Total
 	-3,961	0,45786	-0,1810	-	-	1
 	-0,155	0,01349	0,2377	-	-	2
 	-0,034	0,00140	0,0395	-	-	3
-16,8	-4,151	0,46172	0,097	-48,530	0,116	Total
 	-3,956	0,44653	-0,1810	-	-	1
 	-0,160	0,01379	0,2381	-	-	2
 	-0,035	0,00140	0,0396	-	-	3
-16,6	-4,150	0,42896	0,097	-48,030	0,117	Total
 	-3,950	0,41384	-0,1809	-	-	1
 	-0,164	0,01372	0,2386	-	-	2
 	-0,036	0,00141	0,0397	-	-	3
-16,4	-4,149	0,42382	0,098	-47,533	0,118	Total
 	-3,944	0,40899	-0,1809	-	-	1
 	-0,169	0,01342	0,2390	-	-	2
 	-0,036	0,00141	0,0398	-	-	3
-16,2	-4,148	0,41899	0,099	-47,036	0,118	Total
 	-3,939	0,40423	-0,1808	-	-	1
 	-0,173	0,01335	0,2395	-	-	2
 	-0,037	0,00141	0,0399	-	-	3
-16,0	-4,147	0,41425	0,099	-46,541	0,119	Total
 	-3,932	0,39957	-0,1807	-	-	1
 	-0,177	0,01328	0,2399	-	-	2
 	-0,038	0,00141	0,0400	-	-	3
-15,8	-4,146	0,40962	0,100	-46,047	0,119	Total
 	-3,926	0,39499	-0,1807	-	-	1
 	-0,182	0,01321	0,2403	-	-	2
 	-0,038	0,00141	0,0401	-	-	3
-15,6	-4,145	0,40549	0,100	-45,555	0,120	Total
 	-3,920	0,39051	-0,1806	-	-	1
 	-0,186	0,01356	0,2407	-	-	2
 	-0,039	0,00142	0,0402	-	-	3
-15,4	-4,144	0,40102	0,101	-45,064	0,121	Total
 	-3,914	0,38613	-0,1805	-	-	1
 	-0,190	0,01347	0,2411	-	-	2
 	-0,040	0,00142	0,0403	-	-	3
-15,2	-4,142	0,39666	0,102	-44,575	0,121	Total
 	-3,908	0,38185	-0,1804	-	-	1
 	-0,194	0,01339	0,2416	-	-	2
 	-0,040	0,00142	0,0404	-	-	3
-15,0	-4,141	0,39240	0,102	-44,087	0,122	Total
 	-3,901	0,37767	-0,1802	-	-	1
 	-0,199	0,01331	0,2420	-	-	2
 	-0,041	0,00142	0,0405	-	-	3
-14,8	-4,139	0,32089	0,103	-43,601	0,123	Total
 	-3,894	0,30624	-0,1801	-	-	1
 	-0,203	0,01324	0,2424	-	-	2
 	-0,042	0,00142	0,0406	-	-	3
-14,6	-4,137	0,31708	0,103	-43,116	0,123	Total
 	-3,887	0,30249	-0,1800	-	-	1
 	-0,207	0,01316	0,2428	-	-	2
 	-0,042	0,00142	0,0407	-	-	3
-14,4	-4,135	0,31337	0,104	-42,633	0,124	Total
 	-3,880	0,29885	-0,1798	-	-	1
 	-0,212	0,01309	0,2432	-	-	2
 	-0,043	0,00142	0,0408	-	-	3
-14,2	-4,134	0,30987	0,105	-42,151	0,125	Total
 	-3,874	0,29531	-0,1797	-	-	1
 	-0,216	0,01313	0,2436	-	-	2
 	-0,044	0,00142	0,0409	-	-	3
-14,0	-4,132	0,30637	0,105	-41,671	0,126	Total
 	-3,867	0,29188	-0,1795	-	-	1
 	-0,220	0,01306	0,2439	-	-	2
 	-0,045	0,00143	0,0409	-	-	3
-13,8	-4,130	0,30337	0,106	-41,193	0,126	Total
 	-3,860	0,28857	-0,1793	-	-	1
 	-0,225	0,01337	0,2443	-	-	2
 	-0,045	0,00143	0,0410	-	-	3
-13,6	-4,128	0,30009	0,107	-40,716	0,127	Total
 	-3,853	0,28537	-0,1791	-	-	1
 	-0,229	0,01329	0,2447	-	-	2
 	-0,046	0,00143	0,0411	-	-	3
-13,4	-4,127	0,27776	0,107	-40,242	0,128	Total
 	-3,846	0,26307	-0,1789	-	-	1
 	-0,233	0,01326	0,2451	-	-	2
 	-0,047	0,00143	0,0412	-	-	3
-13,2	-4,125	0,27478	0,108	-39,768	0,129	Total
 	-3,839	0,26003	-0,1787	-	-	1
 	-0,238	0,01331	0,2454	-	-	2
 	-0,048	0,00143	0,0413	-	-	3
-13,0	-4,123	0,27180	0,109	-39,297	0,129	Total
 	-3,832	0,25714	-0,1785	-	-	1
 	-0,242	0,01323	0,2458	-	-	2
 	-0,048	0,00144	0,0416	-	-	3
-12,8	-4,120	0,26933	0,109	-38,827	0,130	Total
 	-3,825	0,25433	-0,1783	-	-	1
 	-0,246	0,01354	0,2461	-	-	2
 	-0,049	0,00146	0,0416	-	-	3
-12,6	-4,118	0,26674	0,110	-38,359	0,131	Total
 	-3,818	0,25178	-0,1781	-	-	1
 	-0,251	0,01345	0,2465	-	-	2
 	-0,050	0,00151	0,0417	-	-	3
-12,4	-4,116	0,26430	0,111	-37,893	0,132	Total
 	-3,810	0,24943	-0,1778	-	-	1
 	-0,255	0,01336	0,2468	-	-	2
 	-0,051	0,00151	0,0418	-	-	3
