α	Cl	Cd	Cm 0.25	Cp*	M cr.	Elemento
 	-3,373	0,12749	-0,1550	-	-	1
 	-0,697	0,02087	0,2533	-	-	2
 	-0,095	0,00144	0,0452	-	-	3
-2,4	-4,159	0,14653	0,145	-17,374	0,193	Total
 	-3,363	0,12446	-0,1543	-	-	1
 	-0,700	0,02063	0,2536	-	-	2
 	-0,096	0,00144	0,0452	-	-	3
-2,2	-4,153	0,12245	0,146	-17,028	0,194	Total
 	-3,353	0,10060	-0,1536	-	-	1
 	-0,703	0,02041	0,2540	-	-	2
 	-0,097	0,00143	0,0453	-	-	3
-2,0	-4,146	0,11975	0,147	-16,685	0,196	Total
 	-3,342	0,09713	-0,1529	-	-	1
 	-0,705	0,02122	0,2543	-	-	2
 	-0,098	0,00140	0,0453	-	-	3
-1,8	-4,139	0,11501	0,148	-16,345	0,198	Total
 	-3,332	0,09264	-0,1522	-	-	1
 	-0,708	0,02097	0,2546	-	-	2
 	-0,100	0,00140	0,0453	-	-	3
-1,6	-4,133	0,11321	0,149	-16,007	0,200	Total
 	-3,321	0,09102	-0,1515	-	-	1
 	-0,711	0,02074	0,2549	-	-	2
 	-0,101	0,00144	0,0454	-	-	3
-1,4	-4,126	0,11112	0,150	-15,673	0,202	Total
 	-3,311	0,08915	-0,1508	-	-	1
 	-0,713	0,02054	0,2553	-	-	2
 	-0,102	0,00144	0,0454	-	-	3
-1,2	-4,119	0,10623	0,151	-15,342	0,204	Total
 	-3,300	0,08359	-0,1501	-	-	1
 	-0,716	0,02120	0,2556	-	-	2
 	-0,103	0,00143	0,0455	-	-	3
-1,0	-4,113	0,11154	0,152	-15,013	0,206	Total
 	-3,291	0,08911	-0,1494	-	-	1
 	-0,718	0,02100	0,2559	-	-	2
 	-0,104	0,00143	0,0455	-	-	3
-0,8	-4,105	0,09177	0,153	-14,688	0,208	Total
 	-3,279	0,06967	-0,1487	-	-	1
 	-0,721	0,02068	0,2562	-	-	2
 	-0,105	0,00142	0,0456	-	-	3
-0,6	-4,098	0,08861	0,154	-14,365	0,210	Total
 	-3,268	0,06583	-0,1479	-	-	1
 	-0,724	0,02138	0,2564	-	-	2
 	-0,106	0,00140	0,0456	-	-	3
-0,4	-4,090	0,08659	0,155	-14,045	0,213	Total
 	-3,258	0,06403	-0,1472	-	-	1
 	-0,726	0,02115	0,2567	-	-	2
 	-0,107	0,00142	0,0457	-	-	3
-0,2	-4,047	0,08810	0,156	-13,729	0,215	Total
 	-3,247	0,06271	-0,1464	-	-	1
 	-0,729	0,02107	0,2570	-	-	2
 	-0,072	0,00432	0,0456	-	-	3
0,0	-4,092	0,08143	0,157	-13,415	0,217	Total
 	-3,251	0,05695	-0,1457	-	-	1
 	-0,733	0,02086	0,2573	-	-	2
 	-0,109	0,00361	0,0457	-	-	3
0,2	-4,081	0,08045	0,159	-13,105	0,220	Total
 	-3,235	0,05523	-0,1445	-	-	1
 	-0,735	0,02157	0,2575	-	-	2
 	-0,110	0,00364	0,0458	-	-	3
0,4	-4,069	0,07407	0,160	-12,797	0,222	Total
 	-3,220	0,04904	-0,1433	-	-	1
 	-0,738	0,02135	0,2578	-	-	2
 	-0,111	0,00367	0,0458	-	-	3
0,6	-4,057	0,07252	0,162	-12,493	0,225	Total
 	-3,205	0,04765	-0,1421	-	-	1
 	-0,740	0,02117	0,2580	-	-	2
 	-0,112	0,00370	0,0459	-	-	3
0,8	-4,045	0,06940	0,163	-12,191	0,228	Total
 	-3,189	0,04480	-0,1408	-	-	1
 	-0,743	0,02086	0,2583	-	-	2
 	-0,113	0,00374	0,0459	-	-	3
1,0	-4,033	0,07026	0,165	-11,893	0,230	Total
 	-3,174	0,04371	-0,1396	-	-	1
 	-0,745	0,02278	0,2585	-	-	2
 	-0,114	0,00377	0,0459	-	-	3
1,2	-4,021	0,07250	0,166	-11,598	0,232	Total
 	-3,158	0,04618	-0,1384	-	-	1
 	-0,747	0,02254	0,2588	-	-	2
 	-0,116	0,00379	0,0460	-	-	3
1,4	-4,009	0,06611	0,168	-11,306	0,235	Total
 	-3,143	0,03996	-0,1372	-	-	1
 	-0,750	0,02233	0,2590	-	-	2
 	-0,117	0,00382	0,0460	-	-	3
1,6	-3,997	0,06392	0,169	-11,017	0,238	Total
 	-3,127	0,03795	-0,1359	-	-	1
 	-0,752	0,02212	0,2592	-	-	2
 	-0,118	0,00385	0,0460	-	-	3
1,8	-3,986	0,06058	0,171	-10,731	0,241	Total
 	-3,112	0,03477	-0,1347	-	-	1
 	-0,754	0,02192	0,2594	-	-	2
 	-0,120	0,00388	0,0461	-	-	3
2,0	-3,973	0,06569	0,172	-10,448	0,244	Total
 	-3,096	0,03257	-0,1334	-	-	1
 	-0,757	0,02920	0,2596	-	-	2
 	-0,121	0,00391	0,0461	-	-	3
2,2	-3,961	0,06451	0,174	-10,169	0,247	Total
 	-3,080	0,03131	-0,1322	-	-	1
 	-0,759	0,02925	0,2598	-	-	2
 	-0,122	0,00395	0,0461	-	-	3
2,4	-3,949	0,06342	0,175	-9,892	0,250	Total
 	-3,064	0,03020	-0,1309	-	-	1
 	-0,761	0,02923	0,2600	-	-	2
 	-0,123	0,00398	0,0462	-	-	3
2,6	-3,936	0,05885	0,178	-9,619	0,254	Total
 	-3,049	0,02896	-0,1296	-	-	1
 	-0,763	0,02922	0,2602	-	-	2
 	-0,124	0,00067	0,0478	-	-	3
2,8	-3,924	0,05687	0,180	-9,349	0,257	Total
 	-3,033	0,02695	-0,1283	-	-	1
 	-0,766	0,02926	0,2604	-	-	2
 	-0,125	0,00067	0,0479	-	-	3
3,0	-3,911	0,05710	0,182	-9,083	0,261	Total
 	-3,017	0,02721	-0,1270	-	-	1
 	-0,768	0,02923	0,2606	-	-	2
 	-0,126	0,00066	0,0481	-	-	3
3,2	-3,899	0,05632	0,183	-8,819	0,264	Total
 	-3,001	0,02637	-0,1257	-	-	1
 	-0,770	0,02928	0,2607	-	-	2
 	-0,127	0,00066	0,0482	-	-	3
3,4	-3,886	0,05334	0,185	-8,559	0,268	Total
 	-2,985	0,02342	-0,1244	-	-	1
 	-0,772	0,02925	0,2609	-	-	2
 	-0,129	0,00066	0,0484	-	-	3
3,6	-3,873	0,05358	0,186	-8,302	0,271	Total
 	-2,969	0,02359	-0,1231	-	-	1
 	-0,774	0,02933	0,2610	-	-	2
 	-0,130	0,00066	0,0485	-	-	3
3,8	-3,861	0,05271	0,188	-8,049	0,275	Total
 	-2,954	0,02273	-0,1218	-	-	1
 	-0,776	0,02930	0,2612	-	-	2
 	-0,131	0,00068	0,0487	-	-	3
4,0	-3,848	0,05120	0,190	-7,798	0,279	Total
 	-2,938	0,02119	-0,1205	-	-	1
 	-0,778	0,02934	0,2613	-	-	2
 	-0,132	0,00067	0,0488	-	-	3
4,2	-3,835	0,05025	0,191	-7,551	0,283	Total
 	-2,922	0,02028	-0,1192	-	-	1
 	-0,780	0,02930	0,2615	-	-	2
 	-0,133	0,00067	0,0489	-	-	3
4,4	-3,822	0,04841	0,193	-7,434	0,285	Total
 	-2,905	0,01840	-0,1179	-	-	1
 	-0,782	0,02934	0,2616	-	-	2
 	-0,134	0,00067	0,0491	-	-	3
4,6	-3,809	0,04696	0,194	-7,380	0,286	Total
 	-2,889	0,01700	-0,1165	-	-	1
 	-0,784	0,02930	0,2617	-	-	2
 	-0,135	0,00067	0,0492	-	-	3
4,8	-3,796	0,04631	0,196	-7,326	0,287	Total
 	-2,873	0,01635	-0,1152	-	-	1
 	-0,786	0,02930	0,2618	-	-	2
 	-0,136	0,00066	0,0494	-	-	3
5,0	-3,783	0,04472	0,198	-7,271	0,288	Total
 	-2,857	0,01480	-0,1138	-	-	1
 	-0,788	0,02926	0,2620	-	-	2
 	-0,138	0,00066	0,0495	-	-	3
5,2	-3,770	0,04363	0,199	-7,217	0,289	Total
 	-2,841	0,01368	-0,1125	-	-	1
 	-0,790	0,02929	0,2621	-	-	2
 	-0,139	0,00066	0,0496	-	-	3
5,4	-3,757	0,04378	0,201	-7,162	0,290	Total
 	-2,825	0,01379	-0,1111	-	-	1
 	-0,792	0,02934	0,2622	-	-	2
 	-0,140	0,00066	0,0498	-	-	3
5,6	-3,743	0,04174	0,202	-7,108	0,291	Total
 	-2,809	0,01184	-0,1098	-	-	1
 	-0,794	0,02925	0,2622	-	-	2
 	-0,141	0,00065	0,0499	-	-	3
5,8	-3,730	0,04078	0,204	-7,053	0,292	Total
 	-2,792	0,01086	-0,1084	-	-	1
 	-0,796	0,02927	0,2623	-	-	2
 	-0,142	0,00065	0,0500	-	-	3
6,0	-3,717	0,04027	0,206	-6,998	0,293	Total
 	-2,776	0,01040	-0,1070	-	-	1
 	-0,798	0,02922	0,2624	-	-	2
 	-0,143	0,00064	0,0502	-	-	3
6,2	-3,704	0,03979	0,207	-6,946	0,294	Total
 	-2,760	0,00990	-0,1056	-	-	1
 	-0,799	0,02925	0,2625	-	-	2
 	-0,144	0,00064	0,0503	-	-	3
6,4	-3,690	0,03993	0,209	-6,918	0,294	Total
 	-2,743	0,01001	-0,1042	-	-	1
 	-0,801	0,02926	0,2625	-	-	2
 	-0,146	0,00066	0,0504	-	-	3
6,6	-3,677	0,03850	0,210	-6,889	0,295	Total
 	-2,727	0,00864	-0,1029	-	-	1
 	-0,803	0,02921	0,2626	-	-	2
 	-0,147	0,00065	0,0505	-	-	3
6,8	-3,663	0,03761	0,212	-6,861	0,296	Total
 	-2,711	0,00778	-0,1015	-	-	1
 	-0,805	0,02918	0,2627	-	-	2
 	-0,148	0,00065	0,0507	-	-	3
7,0	-3,650	0,03772	0,213	-6,832	0,296	Total
 	-2,694	0,00789	-0,1001	-	-	1
 	-0,806	0,02919	0,2627	-	-	2
 	-0,149	0,00064	0,0508	-	-	3
7,2	-3,636	0,03696	0,215	-6,804	0,297	Total
 	-2,678	0,00719	-0,0986	-	-	1
 	-0,808	0,02914	0,2627	-	-	2
 	-0,150	0,00063	0,0509	-	-	3
7,4	-3,622	0,03649	0,217	-6,775	0,297	Total
 	-2,661	0,00671	-0,0972	-	-	1
 	-0,810	0,02915	0,2628	-	-	2
 	-0,151	0,00063	0,0511	-	-	3
7,6	-3,608	0,03568	0,218	-6,746	0,298	Total
 	-2,645	0,00590	-0,0958	-	-	1
 	-0,811	0,02915	0,2628	-	-	2
 	-0,152	0,00063	0,0512	-	-	3
7,8	-3,595	0,03557	0,220	-6,717	0,298	Total
 	-2,628	0,00584	-0,0944	-	-	1
 	-0,813	0,02910	0,2628	-	-	2
 	-0,154	0,00063	0,0513	-	-	3
8,0	-3,576	0,03517	0,221	-6,688	0,299	Total
 	-2,607	0,00544	-0,0930	-	-	1
 	-0,814	0,02910	0,2628	-	-	2
 	-0,155	0,00063	0,0514	-	-	3
8,2	-3,562	0,03439	0,223	-6,658	0,300	Total
 	-2,590	0,00469	-0,0916	-	-	1
 	-0,816	0,02910	0,2628	-	-	2
 	-0,156	0,00059	0,0515	-	-	3
8,4	-3,548	0,03399	0,224	-6,629	0,300	Total
 	-2,573	0,00436	-0,0901	-	-	1
 	-0,817	0,02904	0,2628	-	-	2
 	-0,157	0,00059	0,0517	-	-	3
8,6	-3,534	0,03366	0,226	-6,599	0,301	Total
 	-2,557	0,00403	-0,0887	-	-	1
 	-0,819	0,02904	0,2628	-	-	2
 	-0,158	0,00059	0,0518	-	-	3
8,8	-3,520	0,03336	0,228	-6,570	0,301	Total
 	-2,540	0,00377	-0,0871	-	-	1
 	-0,820	0,02901	0,2628	-	-	2
 	-0,159	0,00059	0,0519	-	-	3
9,0	-3,506	0,03307	0,229	-6,540	0,302	Total
 	-2,524	0,00355	-0,0857	-	-	1
 	-0,822	0,02894	0,2628	-	-	2
 	-0,160	0,00058	0,0520	-	-	3
9,2	-3,492	0,03285	0,231	-6,510	0,303	Total
 	-2,507	0,00333	-0,0842	-	-	1
 	-0,823	0,02894	0,2628	-	-	2
 	-0,162	0,00058	0,0521	-	-	3
9,4	-3,478	0,03260	0,232	-6,480	0,303	Total
 	-2,491	0,00310	-0,0827	-	-	1
 	-0,825	0,02892	0,2627	-	-	2
 	-0,163	0,00058	0,0522	-	-	3
9,6	-3,463	0,03228	0,234	-6,449	0,304	Total
 	-2,474	0,00278	-0,0813	-	-	1
 	-0,826	0,02892	0,2627	-	-	2
 	-0,164	0,00057	0,0523	-	-	3
9,8	-3,449	0,03202	0,235	-6,419	0,305	Total
 	-2,457	0,00260	-0,0798	-	-	1
 	-0,827	0,02884	0,2626	-	-	2
 	-0,165	0,00057	0,0524	-	-	3
10,0	-3,435	0,03184	0,237	-6,389	0,305	Total
 	-2,440	0,00243	-0,0784	-	-	1
 	-0,828	0,02883	0,2626	-	-	2
 	-0,166	0,00057	0,0526	-	-	3
10,2	-3,420	0,03167	0,238	-6,358	0,306	Total
 	-2,423	0,00227	-0,0769	-	-	1
 	-0,830	0,02883	0,2625	-	-	2
 	-0,167	0,00057	0,0527	-	-	3
10,4	-3,406	0,03150	0,240	-6,327	0,307	Total
 	-2,407	0,00212	-0,0754	-	-	1
 	-0,831	0,02881	0,2625	-	-	2
 	-0,168	0,00057	0,0528	-	-	3
10,6	-3,391	0,03127	0,241	-6,297	0,307	Total
 	-2,390	0,00199	-0,0740	-	-	1
 	-0,832	0,02872	0,2624	-	-	2
 	-0,169	0,00057	0,0529	-	-	3
10,8	-3,377	0,03113	0,243	-6,266	0,308	Total
 	-2,373	0,00187	-0,0725	-	-	1
 	-0,833	0,02870	0,2623	-	-	2
 	-0,171	0,00056	0,0530	-	-	3
11,0	-3,362	0,03089	0,244	-6,235	0,308	Total
 	-2,356	0,00166	-0,0710	-	-	1
 	-0,834	0,02866	0,2622	-	-	2
 	-0,172	0,00056	0,0531	-	-	3
11,2	-3,348	0,03075	0,246	-6,203	0,308	Total
 	-2,340	0,00157	-0,0695	-	-	1
 	-0,836	0,02862	0,2621	-	-	2
 	-0,173	0,00056	0,0532	-	-	3
11,4	-3,333	0,03065	0,247	-6,172	0,309	Total
 	-2,323	0,00148	-0,0680	-	-	1
 	-0,837	0,02861	0,2620	-	-	2
 	-0,174	0,00056	0,0533	-	-	3
11,6	-3,319	0,02984	0,242	-6,141	0,310	Total
 	-2,306	0,00139	-0,0665	-	-	1
 	-0,838	0,02856	0,2619	-	-	2
 	-0,175	-0,00011	0,0463	-	-	3
11,8	-3,304	0,03035	0,250	-6,109	0,311	Total
 	-2,289	0,00131	-0,0650	-	-	1
 	-0,839	0,02849	0,2618	-	-	2
 	-0,176	0,00055	0,0535	-	-	3
12,0	-3,289	0,03011	0,252	-6,078	0,311	Total
 	-2,272	0,00111	-0,0635	-	-	1
 	-0,840	0,02844	0,2617	-	-	2
 	-0,177	0,00057	0,0536	-	-	3
12,2	-3,274	0,03011	0,253	-6,046	0,312	Total
 	-2,255	0,00110	-0,0620	-	-	1
 	-0,841	0,02845	0,2616	-	-	2
 	-0,178	0,00056	0,0537	-	-	3
12,4	-3,259	0,03002	0,255	-6,014	0,313	Total
 	-2,238	0,00109	-0,0605	-	-	1
 	-0,842	0,02837	0,2615	-	-	2
 	-0,179	0,00056	0,0538	-	-	3
12,6	-3,244	0,02996	0,256	-5,983	0,313	Total
 	-2,221	0,00109	-0,0590	-	-	1
 	-0,842	0,02831	0,2613	-	-	2
 	-0,181	0,00056	0,0539	-	-	3
12,8	-3,229	0,02997	0,258	-5,951	0,314	Total
 	-2,204	0,00110	-0,0575	-	-	1
 	-0,843	0,02831	0,2612	-	-	2
 	-0,182	0,00056	0,0539	-	-	3
13,0	-3,214	0,02991	0,259	-5,919	0,315	Total
 	-2,187	0,00113	-0,0560	-	-	1
 	-0,844	0,02823	0,2610	-	-	2
 	-0,183	0,00056	0,0540	-	-	3
13,2	-3,199	0,02996	0,261	-5,886	0,316	Total
 	-2,170	0,00118	-0,0544	-	-	1
 	-0,845	0,02822	0,2609	-	-	2
 	-0,184	0,00055	0,0541	-	-	3
13,4	-2,925	0,09192	0,233	-5,854	0,317	Total
 	-1,895	0,06321	-0,0823	-	-	1
 	-0,846	0,02816	0,2607	-	-	2
 	-0,185	0,00055	0,0542	-	-	3
13,6	-2,908	0,09138	0,234	-5,822	0,317	Total
 	-1,876	0,06276	-0,0812	-	-	1
 	-0,846	0,02807	0,2605	-	-	2
 	-0,186	0,00054	0,0543	-	-	3
13,8	-2,891	0,09086	0,235	-5,789	0,318	Total
 	-1,857	0,06227	-0,0802	-	-	1
 	-0,847	0,02806	0,2604	-	-	2
 	-0,187	0,00054	0,0544	-	-	3
14,0	-3,139	0,02949	0,266	-5,757	0,319	Total
 	-2,103	0,00099	-0,0484	-	-	1
 	-0,848	0,02797	0,2602	-	-	2
 	-0,188	0,00053	0,0545	-	-	3
14,2	-3,124	0,02951	0,268	-5,724	0,320	Total
 	-2,086	0,00102	-0,0468	-	-	1
 	-0,849	0,02796	0,2600	-	-	2
 	-0,189	0,00053	0,0545	-	-	3
14,4	-3,108	0,02962	0,269	-5,692	0,321	Total
 	-2,068	0,00121	-0,0454	-	-	1
 	-0,849	0,02788	0,2598	-	-	2
 	-0,190	0,00053	0,0546	-	-	3
14,6	-3,093	0,02962	0,270	-5,659	0,321	Total
 	-2,051	0,00124	-0,0438	-	-	1
 	-0,850	0,02784	0,2596	-	-	2
 	-0,191	0,00054	0,0547	-	-	3
14,8	-3,077	0,02956	0,272	-5,626	0,322	Total
 	-2,034	0,00125	-0,0423	-	-	1
 	-0,850	0,02777	0,2594	-	-	2
 	-0,193	0,00054	0,0548	-	-	3
15,0	-2,791	0,08844	0,240	-5,593	0,323	Total
 	-1,746	0,06015	-0,0736	-	-	1
 	-0,851	0,02774	0,2592	-	-	2
 	-0,194	0,00054	0,0548	-	-	3
15,2	-2,774	0,08804	0,241	-5,560	0,324	Total
 	-1,728	0,05980	-0,0725	-	-	1
 	-0,851	0,02770	0,2589	-	-	2
 	-0,195	0,00054	0,0549	-	-	3
15,4	-2,758	0,08689	0,233	-5,527	0,325	Total
 	-1,710	0,05943	-0,0714	-	-	1
 	-0,852	0,02760	0,2587	-	-	2
 	-0,196	-0,00014	0,0456	-	-	3
15,6	-2,741	0,08648	0,234	-5,494	0,326	Total
 	-1,692	0,05905	-0,0703	-	-	1
 	-0,852	0,02757	0,2585	-	-	2
 	-0,197	-0,00013	0,0455	-	-	3
15,8	-2,725	0,08603	0,235	-5,461	0,327	Total
 	-1,674	0,05867	-0,0692	-	-	1
 	-0,853	0,02749	0,2582	-	-	2
 	-0,198	-0,00013	0,0455	-	-	3
16,0	-2,709	0,08636	0,245	-5,427	0,327	Total
 	-1,657	0,05838	-0,0681	-	-	1
 	-0,853	0,02746	0,2580	-	-	2
 	-0,199	0,00052	0,0552	-	-	3
16,2	-2,701	0,08496	0,246	-5,407	0,328	Total
 	-1,648	0,05703	-0,0670	-	-	1
 	-0,853	0,02741	0,2577	-	-	2
 	-0,200	0,00053	0,0553	-	-	3
16,4	-2,684	0,08472	0,247	-5,398	0,328	Total
 	-1,629	0,05690	-0,0658	-	-	1
 	-0,853	0,02730	0,2575	-	-	2
 	-0,201	0,00052	0,0553	-	-	3
16,6	-2,666	0,08451	0,248	-5,388	0,328	Total
 	-1,611	0,05673	-0,0647	-	-	1
 	-0,853	0,02726	0,2572	-	-	2
 	-0,202	0,00052	0,0554	-	-	3
16,8	-2,649	0,08401	0,249	-5,379	0,329	Total
 	-1,593	0,05627	-0,0636	-	-	1
 	-0,853	0,02722	0,2570	-	-	2
 	-0,203	0,00052	0,0555	-	-	3
17,0	-2,632	0,08369	0,250	-5,369	0,329	Total
 	-1,575	0,05606	-0,0625	-	-	1
 	-0,853	0,02712	0,2567	-	-	2
 	-0,204	0,00051	0,0555	-	-	3
17,2	-2,615	0,08332	0,251	-5,360	0,329	Total
 	-1,557	0,05579	-0,0614	-	-	1
 	-0,853	0,02702	0,2564	-	-	2
 	-0,205	0,00051	0,0556	-	-	3
17,4	-2,598	0,08303	0,251	-5,350	0,330	Total
 	-1,539	0,05555	-0,0603	-	-	1
 	-0,853	0,02697	0,2561	-	-	2
 	-0,206	0,00051	0,0556	-	-	3
17,6	-2,582	0,08274	0,252	-5,340	0,330	Total
 	-1,521	0,05531	-0,0591	-	-	1
 	-0,853	0,02692	0,2558	-	-	2
 	-0,207	0,00050	0,0557	-	-	3
17,8	-2,565	0,08297	0,253	-5,330	0,330	Total
 	-1,503	0,05561	-0,0580	-	-	1
 	-0,853	0,02686	0,2555	-	-	2
 	-0,208	0,00050	0,0558	-	-	3
18,0	-2,548	0,08274	0,254	-5,319	0,330	Total
 	-1,486	0,05550	-0,0569	-	-	1
 	-0,853	0,02675	0,2552	-	-	2
 	-0,209	0,00050	0,0558	-	-	3
18,2	-2,532	0,08185	0,255	-5,309	0,331	Total
 	-1,469	0,05468	-0,0558	-	-	1
 	-0,853	0,02668	0,2549	-	-	2
 	-0,210	0,00049	0,0559	-	-	3
18,4	-2,515	0,08155	0,256	-5,298	0,331	Total
 	-1,451	0,05443	-0,0546	-	-	1
 	-0,853	0,02662	0,2546	-	-	2
 	-0,211	0,00049	0,0559	-	-	3
18,6	-2,498	0,08116	0,257	-5,288	0,331	Total
 	-1,434	0,05411	-0,0535	-	-	1
 	-0,852	0,02657	0,2542	-	-	2
 	-0,212	0,00049	0,0560	-	-	3
18,8	-2,481	0,08732	0,246	-5,277	0,332	Total
 	-1,416	0,05479	-0,0524	-	-	1
 	-0,852	0,02649	0,2539	-	-	2
 	-0,213	0,00604	0,0448	-	-	3
19,0	-2,464	0,08685	0,247	-5,266	0,332	Total
 	-1,398	0,05438	-0,0513	-	-	1
 	-0,852	0,02643	0,2536	-	-	2
 	-0,214	0,00604	0,0447	-	-	3
19,2	-2,447	0,08646	0,248	-5,254	0,332	Total
 	-1,381	0,05405	-0,0501	-	-	1
 	-0,851	0,02635	0,2532	-	-	2
 	-0,215	0,00606	0,0447	-	-	3
19,4	-2,431	0,08602	0,248	-5,243	0,332	Total
 	-1,364	0,05370	-0,0490	-	-	1
 	-0,851	0,02623	0,2529	-	-	2
 	-0,216	0,00609	0,0446	-	-	3
19,6	-2,414	0,08565	0,249	-5,232	0,333	Total
 	-1,347	0,05341	-0,0479	-	-	1
 	-0,851	0,02615	0,2525	-	-	2
 	-0,217	0,00609	0,0445	-	-	3
19,8	-2,398	0,08537	0,250	-5,220	0,333	Total
 	-1,330	0,05318	-0,0467	-	-	1
 	-0,850	0,02608	0,2521	-	-	2
 	-0,218	0,00611	0,0445	-	-	3
20,0	-2,382	0,08522	0,251	-5,208	0,333	Total
 	-1,313	0,05307	-0,0456	-	-	1
 	-0,850	0,02601	0,2518	-	-	2
 	-0,219	0,00614	0,0444	-	-	3
