"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          74,      -3.247681116,     -0.8046292726,     -0.9368076609,       2.214904408
          0,           0,          75,      -3.249087847,     -0.8063466856,     -0.9385885143,       2.213503671
          0,           0,          76,      -3.250566485,     -0.8079483079,     -0.9402014016,       2.212029808
          0,           0,          77,      -3.252100032,     -0.8094522234,     -0.9416711221,       2.210499882
          0,           0,          78,      -3.253668017,     -0.8108777621,     -0.9430305278,       2.208934402
          0,           0,          79,      -3.255249054,     -0.8122435444,     -0.9443161248,       2.207354739
          0,           0,          80,      -3.256823143,      -0.813565749,     -0.9455637475,       2.205780874
          0,           0,          81,      -3.258373553,     -0.8148568147,     -0.9468049179,       2.204229526
          0,           0,          82,        -3.2598881,      -0.816124989,      -0.948064412,       2.202712834
          0,           0,          83,      -3.261359715,     -0.8173746077,     -0.9493590579,       2.201237812
          0,           0,          84,      -3.262786105,     -0.8186065931,     -0.9506976538,       2.199806687
          0,           0,          85,      -3.264168948,     -0.8198195489,     -0.9520818889,       2.198417723
          0,           0,          86,       -3.26551267,     -0.8210110055,     -0.9535079443,       2.197066422
          0,           0,          87,      -3.266822806,     -0.8221781116,     -0.9549682578,       2.195747218
          0,           0,          88,      -3.268104924,     -0.8233188308,     -0.9564535291,       2.194454586
          0,           0,          89,      -3.269363533,     -0.8244323099,     -0.9579542966,       2.193184108
          0,           0,          90,      -3.270601422,     -0.8255190305,     -0.9594620144,       2.191933188
          0,           0,          91,      -3.271819638,     -0.8265809392,     -0.9609698723,       2.190701054
          0,           0,          92,      -3.273017577,     -0.8276210238,     -0.9624729262,       2.189488636
          0,           0,          93,      -3.274193512,     -0.8286429802,     -0.9639679582,        2.18829803
          0,           0,          94,      -3.275345131,     -0.8296506891,      -0.965452996,        2.18713191
          0,           0,          95,      -3.276470241,     -0.8306479121,     -0.9669267699,       2.185992806
          0,           0,          96,      -3.277567178,     -0.8316378532,     -0.9683881911,       2.184882681
          0,           0,          97,      -3.278635318,     -0.8326231665,      -0.969836003,       2.183802393
          0,           0,          98,      -3.279675151,     -0.8336058279,     -0.9712685296,       2.182751611
          0,           0,          99,      -3.280688214,     -0.8345870952,      -0.972683706,       2.181728883
          0,           0,         100,      -3.281676867,     -0.8355676032,     -0.9740792097,        2.18073189
          0,           0,         101,      -3.282643957,     -0.8365474468,     -0.9754526018,        2.17975777
          0,           0,         102,      -3.283592558,     -0.8375263505,     -0.9768017237,       2.178803397
          0,           0,         103,      -3.284525503,     -0.8385035942,     -0.9781248473,        2.17786588
          0,           0,         104,      -3.285445289,     -0.8394782161,     -0.9794209205,       2.176942659
          0,           0,         105,      -3.286353881,     -0.8404489183,     -0.9806896045,       2.176031717
          0,           0,         106,      -3.287252747,     -0.8414141251,     -0.9819311828,       2.175131545
          0,           0,         107,      -3.288143002,     -0.8423720749,     -0.9831463384,       2.174240992
          0,           0,         108,      -3.289025548,     -0.8433206974,     -0.9843358739,        2.17335914
          0,           0,         109,      -3.289901386,     -0.8442577888,     -0.9855004149,       2.172484969
          0,           0,         110,       -3.29077175,     -0.8451809504,     -0.9866400605,       2.171617212
          0,           0,         111,      -3.291638293,     -0.8460876288,     -0.9877541339,       2.170754172
          0,           0,         112,      -3.292503275,     -0.8469752914,     -0.9888409717,       2.169893521
          0,           0,         113,       -3.29336952,     -0.8478414183,     -0.9898978651,       2.169032337
          0,           0,         114,      -3.294240383,     -0.8486836547,     -0.9909211783,       2.168167135
          0,           0,         115,      -3.295119554,     -0.8494997917,     -0.9919064247,       2.167294067
          0,           0,         116,      -3.296010966,     -0.8502880634,     -0.9928485855,       2.166409019
          0,           0,         117,       -3.29691843,     -0.8510469831,     -0.9937425602,       2.165507985
          0,           0,         118,      -3.297845483,     -0.8517756622,     -0.9945835777,       2.164587227
          0,           0,         119,      -3.298795067,     -0.8524737966,     -0.9953676001,        2.16364361
          0,           0,         120,      -3.299769339,     -0.8531417996,     -0.9960918385,       2.162674802
          0,           0,         121,      -3.300769507,     -0.8537808501,     -0.9967550984,       2.161679444
          0,           0,         122,      -3.301795695,      -0.854392893,     -0.9973580819,       2.160657305
          0,           0,         123,       -3.30284694,     -0.8549807125,     -0.9979035215,       2.159609287
          0,           0,         124,      -3.303921117,     -0.8555477403,     -0.9983961866,       2.158537502
          0,           0,         125,      -3.305015141,     -0.8560980744,     -0.9988428169,       2.157445076
          0,           0,         126,      -3.306125037,     -0.8566362236,     -0.9992512492,       2.156336065
          0,           0,         127,      -3.307246222,     -0.8571669843,     -0.9996315754,       2.155215199
          0,           0,         128,      -3.308373689,     -0.8576951036,     -0.9999940858,        2.15408766
          0,           0,         129,      -3.309502287,     -0.8582250568,      -1.000349171,       2.152958802
          0,           0,         130,      -3.310626984,     -0.8587607878,      -1.000706823,       2.151833872
          0,           0,         131,      -3.311743109,     -0.8593054678,      -1.001076094,       2.150717751
          0,           0,         132,      -3.312846611,     -0.8598614116,      -1.001464707,       2.149614678
          0,           0,         133,      -3.313934137,      -0.860429789,      -1.001878549,       2.148528178
          0,           0,         134,      -3.315003185,     -0.8610107031,      -1.002321617,       2.147460872
          0,           0,         135,      -3.316052097,     -0.8616031535,      -1.002795945,       2.146414496
          0,           0,         136,      -3.317080024,     -0.8622051621,      -1.003301625,       2.145389919
          0,           0,         137,      -3.318086823,     -0.8628139272,      -1.003836987,       2.144387256
          0,           0,         138,       -3.31907287,     -0.8634259849,      -1.004398914,       2.143406067
          0,           0,         139,      -3.320038989,     -0.8640375537,      -1.004983206,       2.142445431
          0,           0,         140,      -3.320986188,     -0.8646446687,      -1.005584939,       2.141504212
          0,           0,         141,      -3.321915522,     -0.8652434615,      -1.006198863,       2.140581226
          0,           0,         142,      -3.322827981,     -0.8658303869,      -1.006819765,       2.139675355
          0,           0,         143,      -3.323724338,     -0.8664023528,      -1.007442727,       2.138785707
          0,           0,         144,      -3.324605157,     -0.8669568959,      -1.008063397,        2.13791161
          0,           0,         145,      -3.325470741,     -0.8674921465,      -1.008678058,       2.137052675
          0,           0,         146,      -3.326321246,     -0.8680069551,      -1.009283694,       2.136208682
          0,           0,         147,      -3.327156673,      -0.868500752,      -1.009877992,        2.13537958
          0,           0,         148,      -3.327977004,     -0.8689735451,      -1.010459275,       2.134565354
          0,           0,         149,      -3.328782312,     -0.8694258696,      -1.011026456,       2.133765905
          0,           0,         150,      -3.329572783,     -0.8698586101,      -1.011578891,       2.132981033
          0,           0,         151,      -3.330348879,     -0.8702730512,      -1.012116305,        2.13221027
          0,           0,         152,      -3.331111317,     -0.8706707562,      -1.012638803,       2.131452881
          0,           0,         153,      -3.331861055,     -0.8710535003,      -1.013146764,       2.130707898
          0,           0,         154,      -3.332599387,     -0.8714233878,      -1.013640853,        2.12997401
          0,           0,         155,      -3.333327792,     -0.8717826959,      -1.014121999,       2.129249713
          0,           0,         156,      -3.334047852,     -0.8721338772,      -1.014591325,       2.128533407
          0,           0,         157,       -3.33476112,     -0.8724795042,      -1.015050112,        2.12782353
          0,           0,         158,      -3.335469159,     -0.8728224278,      -1.015499898,       2.127118508
          0,           0,         159,      -3.336173276,     -0.8731654849,      -1.015942304,        2.12641703
          0,           0,         160,      -3.336874513,     -0.8735116818,      -1.016379212,        2.12571807
          0,           0,         161,       -3.33757356,     -0.8738640848,      -1.016812712,       2.125020963
          0,           0,         162,      -3.338270692,     -0.8742258044,      -1.017245011,       2.124325466
          0,           0,         163,      -3.338965739,     -0.8745999601,      -1.017678486,       2.123631786
          0,           0,         164,      -3.339657992,     -0.8749895603,      -1.018115697,        2.12294068
          0,           0,         165,      -3.340346276,     -0.8753975445,       -1.01855936,       2.122253375
          0,           0,         166,      -3.341028928,     -0.8758266214,      -1.019012321,       2.121571597
