NACA 16-3014
1.00000000	0.00000000
1.00115760	0.00139294
1.00078702	0.00241256
1.00019891	0.00386237
0.99938313	0.00570137
0.99833275	0.00789612
0.99704201	0.01041904
0.99550573	0.01324648
0.99371914	0.01635751
0.99167780	0.01973312
0.98937758	0.02335572
0.98681460	0.02720874
0.98398529	0.03127639
0.98088636	0.03554345
0.97751482	0.03999518
0.97386797	0.04461715
0.96994345	0.04939523
0.96573922	0.05431549
0.96125358	0.05936419
0.95648521	0.06452773
0.95143311	0.06979263
0.94609669	0.07514556
0.94047573	0.08057327
0.93457040	0.08606265
0.92838127	0.09160072
0.92190931	0.09717462
0.91515588	0.10277164
0.90812277	0.10837921
0.90081216	0.11398498
0.89322666	0.11957673
0.88536925	0.12514251
0.87724335	0.13067055
0.86885275	0.13614935
0.86020165	0.14156769
0.85129462	0.14691460
0.84213661	0.15217945
0.83273295	0.15735192
0.82308931	0.16242203
0.81321171	0.16738016
0.80310652	0.17221709
0.79278040	0.17692395
0.78224033	0.18149232
0.77149357	0.18591417
0.76054768	0.19018193
0.74941043	0.19428844
0.73808988	0.19822701
0.72659427	0.20199143
0.71493206	0.20557592
0.70311192	0.20897520
0.69114264	0.21218445
0.67903320	0.21519934
0.66679269	0.21801601
0.65443030	0.22063108
0.64195535	0.22304163
0.62937719	0.22524524
0.61670527	0.22723993
0.60394904	0.22902419
0.59111800	0.23059695
0.57822164	0.23195759
0.56526944	0.23310591
0.55227085	0.23404213
0.53923530	0.23476689
0.52617213	0.23528120
0.51309063	0.23558646
0.50000000	0.23568443
0.48690934	0.23557829
0.47382774	0.23526503
0.46076422	0.23474781
0.44772777	0.23402768
0.43472736	0.23310597
0.42177187	0.23198428
0.40887016	0.23066448
0.39603102	0.22914868
0.38326317	0.22743928
0.37057525	0.22553891
0.35797583	0.22345042
0.34547339	0.22117694
0.33307633	0.21872179
0.32079292	0.21608854
0.30863138	0.21328095
0.29659979	0.21030301
0.28470613	0.20715892
0.27295830	0.20385307
0.26136403	0.20039004
0.24993099	0.19677462
0.23866670	0.19301178
0.22757856	0.18910668
0.21667387	0.18506465
0.20595978	0.18089122
0.19544332	0.17659209
0.18513141	0.17217314
0.17503083	0.16764041
0.16514821	0.16300015
0.15549009	0.15825877
0.14606285	0.15342287
0.13687275	0.14849924
0.12792592	0.14349484
0.11922834	0.13841685
0.11078588	0.13327264
0.10260426	0.12806979
0.09468907	0.12281609
0.08704578	0.11751958
0.07967971	0.11218852
0.07259604	0.10683144
0.06579984	0.10145712
0.05929602	0.09607467
0.05308937	0.09069347
0.04718455	0.08532326
0.04158607	0.07997415
0.03629833	0.07465664
0.03132557	0.06938167
0.02667192	0.06416068
0.02234139	0.05900564
0.01833784	0.05392913
0.01466503	0.04894443
0.01132661	0.04406559
0.00832609	0.03930759
0.00566694	0.03468646
0.00335249	0.03021947
0.00138607	0.02592545
-0.00022905	0.02182504
-0.00148956	0.01794124
-0.00239206	0.01430010
-0.00293294	0.01093169
-0.00310814	0.00787188
-0.00291279	0.00516529
-0.00234032	0.00287135
-0.00137992	0.00108023
0.00000000	0.00000000
0.00168110	-0.00037541
0.00354486	-0.00045114
0.00562233	-0.00024582
0.00792341	0.00020914
0.01045340	0.00088754
0.01321555	0.00176728
0.01621192	0.00282923
0.01944377	0.00405652
0.02291180	0.00543403
0.02661625	0.00694797
0.03055700	0.00858571
0.03473357	0.01033554
0.03914521	0.01218650
0.04379090	0.01412834
0.04866936	0.01615136
0.05377908	0.01824638
0.05911832	0.02040470
0.06468514	0.02261800
0.07047737	0.02487835
0.07649266	0.02717819
0.08272846	0.02951023
0.08918202	0.03186754
0.09585041	0.03424343
0.10273055	0.03663152
0.10981914	0.03902566
0.11711276	0.04141996
0.12460779	0.04380878
0.13230047	0.04618672
0.14018690	0.04854859
0.14826300	0.05088945
0.15652458	0.05320455
0.16496730	0.05548940
0.17358670	0.05773968
0.18237819	0.05995131
0.19133707	0.06212040
0.20045850	0.06424327
0.20973758	0.06631645
0.21916928	0.06833665
0.22874848	0.07030080
0.23846999	0.07220600
0.24832851	0.07404955
0.25831869	0.07582892
0.26843511	0.07754179
0.27867227	0.07918599
0.28902464	0.08075954
0.29948661	0.08226062
0.31005255	0.08368757
0.32071678	0.08503890
0.33147359	0.08631328
0.34231723	0.08750950
0.35324193	0.08862651
0.36424193	0.08966341
0.37531141	0.09061941
0.38644457	0.09149384
0.39763559	0.09228618
0.40887866	0.09299600
0.42016795	0.09362297
0.43149766	0.09416686
0.44286197	0.09462755
0.45425508	0.09500499
0.46567122	0.09529922
0.47710459	0.09551035
0.48854943	0.09563854
0.50000000	0.09568643
0.51145060	0.09565086
0.52289555	0.09553514
0.53432926	0.09534157
0.54574629	0.09507238
0.55714124	0.09472982
0.56850884	0.09431606
0.57984389	0.09383323
0.59114128	0.09328338
0.60239597	0.09266847
0.61360299	0.09199038
0.62475741	0.09125088
0.63585437	0.09045164
0.64688905	0.08959420
0.65785665	0.08867998
0.66875239	0.08771027
0.67957151	0.08668624
0.69030925	0.08560893
0.70096083	0.08447924
0.71152145	0.08329796
0.72198631	0.08206576
0.73235052	0.08078318
0.74260917	0.07945067
0.75275729	0.07806857
0.76278983	0.07663714
0.77270167	0.07515657
0.78248759	0.07362700
0.79214228	0.07204851
0.80166034	0.07042118
0.81103623	0.06874508
0.82026434	0.06702029
0.82933890	0.06524695
0.83825403	0.06342528
0.84700373	0.06155556
0.85558187	0.05963823
0.86398219	0.05767387
0.87219829	0.05566325
0.88022366	0.05360737
0.88805165	0.05150747
0.89567551	0.04936510
0.90308834	0.04718215
0.91028316	0.04496085
0.91725288	0.04270389
0.92399030	0.04041441
0.93048815	0.03809605
0.93673909	0.03575305
0.94273571	0.03339025
0.94847054	0.03101319
0.95393609	0.02862817
0.95912483	0.02624233
0.96402925	0.02386372
0.96864182	0.02150144
0.97295504	0.01916573
0.97696147	0.01686812
0.98065368	0.01462164
0.98402433	0.01244100
0.98706614	0.01034295
0.98977191	0.00834664
0.99213450	0.00647424
0.99414678	0.00475177
0.99580160	0.00321057
0.99709154	0.00188977
0.99800843	0.00084158
0.99854122	0.00014657
1.00000000	0.00000000

