
1.0000000    -0.0462498
0.9998133    -0.0461737
0.9992571    -0.0459442
0.9983400    -0.0455571
0.9970725    -0.0450065
0.9954674    -0.0442870
0.9935417    -0.0433915
0.9913215    -0.0423179
0.9888355    -0.0410794
0.9860992    -0.0397013
0.9831120    -0.0382043
0.9798703    -0.0365957
0.9763795    -0.0348789
0.9726466    -0.0330635
0.9686725    -0.0311601
0.9644568    -0.0291727
0.9600052    -0.0271038
0.9553245    -0.0249616
0.9504157    -0.0227559
0.9452778    -0.0204896
0.9399163    -0.0181643
0.9343383    -0.0157874
0.9285443    -0.0133679
0.9225335    -0.0109081
0.9163116    -0.0084086
0.9098857    -0.0058766
0.9032562    -0.0033210
0.8964215    -0.0007429
0.8893876     0.0018584
0.8821623     0.0044762
0.8747462     0.0071021
0.8671371     0.0097355
0.8593413     0.0123788
0.8513677     0.0150262
0.8432169     0.0176695
0.8348863     0.0203097
0.8263829     0.0229521
0.8177190     0.0255933
0.8088989     0.0282246
0.7999225     0.0308454
0.7907979     0.0334591
0.7815377     0.0360608
0.7721464     0.0386411
0.7626241     0.0411982
0.7529787     0.0437350
0.7432226     0.0462459
0.7333600     0.0487210
0.7233907     0.0511585
0.7133225     0.0535610
0.7031677     0.0559227
0.6929299     0.0582333
0.6826085     0.0604911
0.6722113     0.0626987
0.6617500     0.0648500
0.6512278     0.0669346
0.6406432     0.0689511
0.6300036     0.0709023
0.6193204     0.0727820
0.6085958     0.0745800
0.5978275     0.0762952
0.5870218     0.0779308
0.5761895     0.0794813
0.5653317     0.0809370
0.5544447     0.0822977
0.5435340     0.0835679
0.5326094     0.0847434
0.5216708     0.0858161
0.5107139     0.0867881
0.4997441     0.0876663
0.4887712     0.0884488
0.4777959     0.0891296
0.4668147     0.0897132
0.4558348     0.0902087
0.4448682     0.0906154
0.4339174     0.0909280
0.4229809     0.0911514
0.4120678     0.0912947
0.4011919     0.0913563
0.3903567     0.0913299
0.3795610     0.0912194
0.3688144     0.0910330
0.3581305     0.0907680
0.3475119     0.0904172
0.3369567     0.0899846
0.3264739     0.0894786
0.3160767     0.0888964
0.3057672     0.0882309
0.2955427     0.0874866
0.2854120     0.0866723
0.2753882     0.0857856
0.2654728     0.0848196
0.2556628     0.0837792
0.2459667     0.0826738
0.2363976     0.0815011
0.2269564     0.0802545
0.2176397     0.0789394
0.2084559     0.0775659
0.1994181     0.0761319
0.1905267     0.0746309
0.1817778     0.0730689
0.1731799     0.0714565
0.1647459     0.0697917
0.1564758     0.0680683
0.1483652     0.0662929
0.1404226     0.0644765
0.1326608     0.0626175
0.1250795     0.0607096
0.1176737     0.0587600
0.1104520     0.0567804
0.1034272     0.0547692
0.0965986     0.0527201
0.0899607     0.0506409
0.0835218     0.0485439
0.0772952     0.0464277
0.0712796     0.0442860
0.0654691     0.0421270
0.0598722     0.0399639
0.0545023     0.0377952
0.0493580     0.0356144
0.0444326     0.0334302
0.0397346     0.0312570
0.0352785     0.0290934
0.0310626     0.0269325
0.0270797     0.0247835
0.0233388     0.0226623
0.0198560     0.0205676
0.0166303     0.0184917
0.0136533     0.0164443
0.0109356     0.0144440
0.0084978     0.0124904
0.0063417     0.0105730
0.0044588     0.0087029
0.0028677     0.0069064
0.0016143     0.0051819
0.0007288     0.0034880
0.0002018     0.0017769
-0.0000012     0.0000233
0.0000855    -0.0017718
0.0004398    -0.0035956
0.0010477    -0.0054365
0.0018935    -0.0072810
0.0029654    -0.0091061
0.0042650    -0.0108862
0.0058008    -0.0126059
0.0075727    -0.0142527
0.0095809    -0.0157982
0.0118526    -0.0172043
0.0144464    -0.0184584
0.0174163    -0.0195963
0.0207703    -0.0206774
0.0244772    -0.0217346
